                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.98433,                0.82643,                 1.2185,                0.71513,                0.59161,                0.63228,                0.34529,                 1.6376,                 1.5264,                 1.9419,             0.00032553,             0.00032553,             0.00032553
                     81,                0.97786,                0.83798,                 1.2243,                0.74322,                0.59429,                0.63842,                0.35701,                 1.6308,                 1.5072,                 1.9189,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.0069,                0.90379,                 1.2665,                0.78375,                0.59797,                0.65895,                0.37473,                 1.5941,                 1.4555,                 1.8683,             0.00029723,             0.00029723,             0.00029723
                     83,                0.93328,                0.81328,                  1.189,                0.71473,                0.65207,                0.67013,                0.37912,                 1.5429,                 1.4427,                 1.8104,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.0227,                0.86846,                 1.2323,                0.84928,                 0.5918,                0.67124,                0.37966,                 1.5373,                 1.3934,                 1.8178,             0.00026894,             0.00026894,             0.00026894
                     85,                0.94336,                 0.8217,                 1.2213,                0.83925,                0.60415,                0.67062,                0.37251,                 1.5518,                 1.3331,                  1.827,             0.00025479,             0.00025479,             0.00025479
                     86,                0.94985,                0.84108,                 1.2233,                0.88326,                0.60984,                0.68752,                0.36524,                 1.5635,                 1.3588,                 1.8438,             0.00024064,             0.00024064,             0.00024064
                     87,                0.97698,                0.81874,                 1.2344,                0.89017,                0.60708,                0.69322,                0.37284,                 1.5368,                 1.3658,                  1.827,              0.0002265,              0.0002265,              0.0002265
                     88,                0.94311,                0.84241,                 1.2355,                0.90782,                 0.6178,                0.70555,                0.37552,                 1.5603,                  1.394,                 1.8242,             0.00021235,             0.00021235,             0.00021235
                     89,                0.93311,                0.79793,                 1.1978,                0.85599,                0.61675,                0.69818,                0.38214,                  1.562,                 1.3924,                 1.8489,              0.0001982,              0.0001982,              0.0001982
                     90,                0.87745,                0.77535,                 1.1853,                0.87428,                0.59938,                0.69761,                0.37547,                 1.5679,                  1.431,                 1.8476,             0.00018406,             0.00018406,             0.00018406
                     91,                0.79362,                0.63076,                 1.1264,                0.81669,                0.60279,                0.67259,                0.36677,                 1.6151,                 1.5031,                 1.8937,             0.00016991,             0.00016991,             0.00016991
                     92,                0.79984,                0.63584,                 1.1345,                0.83752,                  0.604,                0.68289,                0.37675,                 1.5473,                  1.467,                 1.8341,             0.00015576,             0.00015576,             0.00015576
                     93,                0.79473,                 0.6183,                 1.1303,                0.84622,                0.60428,                0.68815,                0.38557,                 1.5187,                 1.3975,                 1.8074,             0.00014161,             0.00014161,             0.00014161
                     94,                0.78462,                 0.5919,                 1.1374,                0.88206,                0.59387,                0.69489,                0.39906,                 1.5115,                 1.3396,                 1.8026,             0.00012747,             0.00012747,             0.00012747
                     95,                0.77847,                0.58017,                 1.1253,                0.82877,                0.61042,                0.69039,                0.39279,                 1.5295,                 1.3597,                 1.8239,             0.00011332,             0.00011332,             0.00011332
                     96,                0.75074,                0.57953,                 1.1234,                0.70727,                0.64547,                0.68381,                 0.3866,                 1.5528,                 1.3833,                 1.8486,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.77088,                0.58599,                 1.1371,                0.75483,                0.60428,                0.67229,                0.38396,                  1.545,                 1.3806,                 1.8448,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.74563,                0.55509,                 1.0941,                0.77375,                0.60654,                0.67711,                0.38484,                  1.542,                 1.3641,                 1.8416,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.74026,                0.54747,                 1.1099,                0.75758,                0.62582,                 0.6807,                0.39065,                 1.5521,                 1.3683,                 1.8561,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.75705,                0.58299,                 1.1205,                0.87125,                0.58414,                0.68206,                0.38747,                 1.5553,                 1.3952,                 1.8628,             4.2584e-05,             4.2584e-05,             4.2584e-05
