                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.3154,                 1.2327,                 1.0975,                0.72196,                 0.4053,                0.44808,                0.25763,                 1.4497,                 1.4722,                 1.1644,              0.0010612,              0.0010612,              0.0010612
                     55,                 1.3325,                 1.1396,                 1.0655,                0.68925,                0.39015,                0.41816,                0.23416,                 1.4973,                 1.4745,                 1.1855,              0.0010541,              0.0010541,              0.0010541
                     56,                 1.4504,                 1.2516,                 1.1033,                0.58564,                  0.421,                0.42087,                0.22242,                 1.6196,                 1.4893,                 1.2112,               0.001047,               0.001047,               0.001047
                     57,                 1.3638,                 1.1957,                 1.0899,                0.79746,                0.47454,                0.49327,                 0.2462,                 1.5664,                 1.4614,                 1.2195,                0.00104,                0.00104,                0.00104
                     58,                  1.317,                 1.1344,                 1.0774,                0.70575,                0.49138,                0.51158,                0.26648,                 1.5204,                 1.3737,                 1.1765,              0.0010329,              0.0010329,              0.0010329
                     59,                 1.2955,                 1.0877,                  1.023,                0.64955,                0.49524,                0.52771,                0.27673,                 1.4464,                  1.339,                 1.1435,              0.0010258,              0.0010258,              0.0010258
                     60,                 1.3631,                 1.1532,                 1.1109,                0.62746,                0.49297,                0.46771,                 0.2758,                 1.3969,                 1.3032,                  1.103,              0.0010187,              0.0010187,              0.0010187
                     61,                 1.2776,                 1.1076,                 1.0683,                0.68475,                0.43231,                0.47135,                0.24685,                 1.4975,                 1.3295,                 1.1403,              0.0010117,              0.0010117,              0.0010117
                     62,                 1.3197,                 1.0521,                 1.0489,                0.66322,                0.42055,                0.39966,                0.20675,                 1.6366,                 1.4132,                 1.2058,              0.0010046,              0.0010046,              0.0010046
                     63,                 1.3222,                 1.1645,                 1.0751,                0.51751,                0.39193,                0.38677,                 0.2159,                 1.6049,                 1.3643,                 1.1974,             0.00099751,             0.00099751,             0.00099751
                     64,                 1.2447,                 1.0475,                 1.0528,                0.39571,                0.45292,                0.40952,                0.23633,                 1.5295,                 1.2953,                 1.1719,             0.00099044,             0.00099044,             0.00099044
                     65,                 1.3373,                 1.1257,                 1.0466,                0.43282,                0.47781,                0.40401,                0.23657,                 1.5499,                 1.3769,                 1.1953,             0.00098337,             0.00098337,             0.00098337
                     66,                 1.3625,                 1.1252,                 1.0834,                0.61933,                0.44261,                0.47597,                0.26139,                 1.5592,                 1.3651,                 1.1859,             0.00097629,             0.00097629,             0.00097629
                     67,                 1.2917,                 1.0271,                 1.0543,                0.68984,                0.45509,                0.50712,                0.27662,                 1.5474,                 1.3154,                 1.1682,             0.00096922,             0.00096922,             0.00096922
                     68,                 1.3312,                 1.0901,                 1.1069,                0.64583,                0.45509,                0.52387,                0.26832,                 1.5072,                 1.2866,                 1.1533,             0.00096215,             0.00096215,             0.00096215
                     69,                 1.2621,                 1.1058,                 1.0673,                0.66472,                0.43927,                0.52908,                0.25305,                 1.5237,                 1.3465,                  1.157,             0.00095507,             0.00095507,             0.00095507
                     70,                 1.2979,                 1.0707,                 1.0733,                0.68096,                0.46594,                0.55534,                0.25053,                 1.5922,                 1.3231,                 1.1988,               0.000948,               0.000948,               0.000948
                     71,                  1.224,                0.97917,                 1.0348,                0.75683,                0.39225,                0.50102,                0.26431,                 1.6165,                 1.2147,                 1.2056,             0.00094093,             0.00094093,             0.00094093
                     72,                  1.277,                  1.078,                 1.0345,                0.63551,                0.41701,                0.50189,                0.27664,                   1.63,                 1.1782,                 1.2157,             0.00093385,             0.00093385,             0.00093385
                     73,                 1.2545,                 1.0368,                 1.0226,                0.70254,                0.38682,                0.49312,                0.26854,                 1.5817,                 1.1881,                 1.1949,             0.00092678,             0.00092678,             0.00092678
                     74,                 1.3031,                 1.0314,                 1.1019,                 0.4256,                0.50054,                0.45211,                0.25066,                 1.5719,                 1.2355,                 1.1958,              0.0009197,              0.0009197,              0.0009197
                     75,                 1.2097,                0.96026,                 1.0232,                0.43763,                0.51845,                0.46123,                0.24013,                 1.5937,                 1.2042,                 1.1997,             0.00091263,             0.00091263,             0.00091263
                     76,                 1.2532,                0.94365,                  1.036,                0.53383,                0.53205,                0.51687,                0.24574,                 1.6224,                 1.2364,                 1.2182,             0.00090556,             0.00090556,             0.00090556
                     77,                 1.2461,                0.91423,                 1.0542,                0.56426,                0.54978,                0.51832,                0.25058,                 1.6171,                 1.2527,                 1.2213,             0.00089848,             0.00089848,             0.00089848
                     78,                 1.2917,                0.96405,                 1.0315,                0.53651,                 0.5763,                0.51336,                0.26283,                 1.5803,                  1.157,                 1.1938,             0.00089141,             0.00089141,             0.00089141
                     79,                 1.2157,                0.94697,                 1.0349,                0.65952,                0.57993,                0.53367,                0.28433,                 1.5792,                 1.1165,                 1.2068,             0.00088434,             0.00088434,             0.00088434
                     80,                 1.2466,                0.96734,                 1.0159,                0.79205,                0.54816,                0.59631,                0.30097,                 1.5614,                 1.1284,                 1.2022,             0.00087726,             0.00087726,             0.00087726
                     81,                 1.2503,                 1.0221,                 1.0866,                0.75216,                0.54288,                0.60282,                0.31203,                 1.6002,                 1.2111,                 1.2051,             0.00087019,             0.00087019,             0.00087019
                     82,                 1.2435,                0.97804,                 1.0571,                0.63328,                0.63176,                0.59306,                 0.2877,                 1.6913,                 1.3355,                 1.2306,             0.00086312,             0.00086312,             0.00086312
                     83,                 1.2105,                0.98861,                 1.0471,                0.63107,                 0.6538,                 0.6048,                0.27711,                 1.6925,                 1.2983,                 1.2254,             0.00085604,             0.00085604,             0.00085604
                     84,                 1.2484,                0.91938,                 1.0138,                0.55574,                0.60775,                0.59574,                0.28846,                 1.6007,                 1.1608,                 1.1922,             0.00084897,             0.00084897,             0.00084897
                     85,                 1.1662,                 0.8701,                 1.0001,                0.70886,                 0.4513,                0.54339,                0.28866,                  1.546,                 1.1129,                 1.1727,              0.0008419,              0.0008419,              0.0008419
                     86,                 1.2178,                0.91691,                 1.0365,                0.74006,                0.44348,                0.50492,                0.27547,                 1.5655,                 1.1217,                  1.187,             0.00083482,             0.00083482,             0.00083482
                     87,                 1.2147,                0.90346,                 1.0342,                0.50694,                 0.5974,                0.52067,                0.27768,                 1.5841,                 1.0998,                  1.197,             0.00082775,             0.00082775,             0.00082775
                     88,                 1.1369,                0.88375,                 1.0202,                0.61996,                0.63738,                0.59665,                  0.288,                 1.5792,                 1.0889,                 1.2028,             0.00082067,             0.00082067,             0.00082067
                     89,                 1.1454,                0.85686,                  1.016,                0.64695,                 0.6526,                0.63549,                0.29322,                 1.5474,                  1.061,                 1.2081,              0.0008136,              0.0008136,              0.0008136
                     90,                 1.1854,                0.91396,                 1.0097,                0.86479,                0.53209,                0.62076,                0.29032,                  1.517,                 1.0345,                 1.1998,             0.00080653,             0.00080653,             0.00080653
                     91,                 1.1912,                0.89744,                 1.0458,                0.86987,                0.53561,                0.62855,                0.29129,                 1.5173,                 1.0123,                 1.1993,             0.00079945,             0.00079945,             0.00079945
                     92,                 1.1943,                 1.0088,                 1.0284,                0.55303,                0.56731,                0.58306,                0.29058,                   1.54,                 1.0315,                 1.2134,             0.00079238,             0.00079238,             0.00079238
                     93,                 1.1657,                0.93055,                 1.0201,                0.67207,                0.43725,                0.54268,                 0.2829,                 1.5839,                  1.103,                 1.2269,             0.00078531,             0.00078531,             0.00078531
                     94,                 1.2532,                0.99892,                 1.0541,                0.65621,                0.46213,                0.51935,                0.24915,                 1.6179,                 1.1466,                 1.2226,             0.00077823,             0.00077823,             0.00077823
