                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 1.0254,                0.66129,                0.92767,                0.80064,                0.73043,                0.72737,                0.44619,                 1.5127,                 0.8596,                 1.0552,              0.0007075,              0.0007075,              0.0007075
                    105,                 1.0628,                0.63979,                0.91501,                0.74842,                0.71753,                0.72728,                0.45535,                 1.4914,                0.87771,                 1.0473,             0.00070042,             0.00070042,             0.00070042
                    106,                 1.1024,                0.63658,                0.94532,                0.77912,                0.66174,                0.71594,                0.44516,                 1.5339,                0.89728,                 1.0489,             0.00069335,             0.00069335,             0.00069335
                    107,                 1.0758,                0.64286,                0.94805,                0.72467,                0.70965,                0.71207,                0.43575,                 1.5646,                0.93001,                 1.0542,             0.00068628,             0.00068628,             0.00068628
                    108,                 1.1025,                 0.6377,                0.92213,                0.75344,                0.71974,                0.72066,                0.44437,                 1.5691,                 0.9032,                 1.0699,              0.0006792,              0.0006792,              0.0006792
                    109,                 1.0804,                0.62042,                 0.9497,                0.76788,                0.73526,                0.73016,                 0.4492,                 1.5733,                0.91352,                 1.0705,             0.00067213,             0.00067213,             0.00067213
                    110,                 1.1377,                0.66099,                0.95574,                0.79381,                 0.6973,                0.73616,                0.45764,                 1.5457,                0.89342,                 1.0605,             0.00066506,             0.00066506,             0.00066506
                    111,                0.96813,                0.60184,                0.90557,                0.78299,                0.71289,                0.72612,                0.44504,                 1.5585,                0.95628,                 1.0568,             0.00065798,             0.00065798,             0.00065798
                    112,                 1.1023,                 0.6403,                0.92681,                0.77437,                0.72592,                  0.729,                0.43871,                 1.5667,                0.91761,                 1.0635,             0.00065091,             0.00065091,             0.00065091
                    113,                 1.0281,                0.60254,                0.92175,                0.80536,                0.72333,                0.75162,                0.47083,                 1.5525,                0.86986,                 1.0706,             0.00064384,             0.00064384,             0.00064384
                    114,                 1.0422,                 0.6101,                0.91393,                0.76297,                0.73935,                0.74793,                 0.4563,                 1.5848,                0.85786,                 1.0892,             0.00063676,             0.00063676,             0.00063676
                    115,                0.96871,                0.59613,                0.91987,                0.83906,                0.65492,                0.73205,                0.45056,                 1.5992,                0.87661,                 1.0882,             0.00062969,             0.00062969,             0.00062969
                    116,                 1.0449,                0.61674,                0.92694,                0.85954,                0.63315,                0.71363,                0.44025,                 1.5153,                 0.8675,                 1.0758,             0.00062262,             0.00062262,             0.00062262
                    117,                 1.0865,                0.64084,                0.93147,                 0.8248,                0.64465,                0.70656,                0.43432,                 1.5672,                0.88158,                 1.1069,             0.00061554,             0.00061554,             0.00061554
                    118,                 1.0047,                0.59573,                0.92371,                0.72158,                0.70238,                0.70584,                0.42966,                 1.5388,                0.85113,                 1.0851,             0.00060847,             0.00060847,             0.00060847
                    119,                 1.0265,                0.60077,                0.91187,                0.77609,                0.66232,                0.67663,                0.41204,                 1.5506,                0.95067,                 1.0763,             0.00060139,             0.00060139,             0.00060139
